GitHub address,PR State
https://github.com/shazforiot/Elasticsearch-kibana-docker-compose-single-node/pull/1,open
https://github.com/misterpki/docker-vault/pull/3,open
https://github.com/muebel/gestioip-docker-compose/pull/9,open
https://github.com/xiaopeng163/docker-compose-tpg/pull/2,open
https://github.com/okteto/python-docker-compose/pull/9,open
https://github.com/alexeagleson/docker-node-postgres-template/pull/2,open
https://github.com/immauss/openvas/pull/141,closed
https://github.com/AndrewRPorter/flask-nginx-tutorial/pull/4,closed
https://github.com/fredychivalan/odoo-docker-compose/pull/4,open
https://github.com/Developers-Notebook/Redis-Sentinel-Docker-Compose/pull/2,closed
https://github.com/tushartuteja/multiple-microservices-docker-compose/pull/8,open
https://github.com/Gorini4/jupyter_scala_docker/pull/1,open
https://github.com/knaopel/docker-frontend-backend-db/pull/3,open
https://github.com/Einsteinish/react-nodejs-mysql-docker-compose/pull/39,open
https://github.com/betawins/docker-compose/pull/1,open
https://github.com/codingforentrepreneurs/iac-python/pull/1,open
https://github.com/BinaryTechLabs/HA-Docker-Files/pull/2,open
https://github.com/azul915/rails6_docker_template/pull/1,open
https://github.com/gnosischain/validator-node-dockerized/pull/3,open
https://github.com/liferay-brim/my-crud/pull/5,open
https://github.com/mohitkr05/dockercompose_practice/pull/1,merged
https://github.com/fatlan/Ceph-Docker-Compose/pull/1,open
https://github.com/tgbot-collection/BotsRunner/pull/1,open
https://github.com/Nativu5/docker-xray-web/pull/1,merged
https://github.com/Rbillon59/wiremock-loadtest/pull/8,merged
https://github.com/nichealpham/his-composer/pull/1,open
https://github.com/schenkd/nginx-ui/pull/50,open
https://github.com/Juli-BCN/docker_python_compose/pull/1,open
https://github.com/manikcloud/elk-stack/pull/1,open
https://github.com/lnds/plantilla_django_docker_compose/pull/1,merged
https://github.com/PaskLab/cardano-docker/pull/25,open
https://github.com/jacktao007/dss-docker-compose/pull/2,open
https://github.com/HariSekhon/Templates/pull/1,open
https://github.com/ramazansakin/NodeJs-App-Microservices/pull/12,open
https://github.com/cytopia/docker-dvwa/pull/25,open
https://github.com/yzbrlan/mini-microservice-deploy-demo/pull/2,open
https://github.com/kemvoueric/docker-compose/pull/2,open
https://github.com/WorkloadAutomation/ibm-workload-automation-docker-compose/pull/4,open
https://github.com/kurtcms/docker-compose-wordpress-nginx-mysql/pull/2,open
https://github.com/lncm/thebox-compose-system/pull/40,open
https://github.com/PatrickNiyogitare28/voting-app/pull/10,open
https://github.com/whatwewant/spug-docker-compose/pull/4,merged
https://github.com/holmofy/canal-docker/pull/1,closed
https://github.com/nuanxinqing123/HomeNavigation/pull/10,open
https://github.com/DiptoChakrabarty/Docker-CheatSheet/pull/1,merged
https://github.com/mvd81/docker-laravel/pull/1,open
https://github.com/smartgic/docker-mycroft/pull/28,open
https://github.com/nguyenduyhust/docker-mongodb-replica-set/pull/3,merged
https://github.com/jnsgruk/infra/pull/1,closed
https://github.com/sakkiii/minio-docker-letsencrypt-deploy/pull/10,open
https://github.com/Automattic/matrix-env/pull/12,closed
https://github.com/sorrell/age-compose/pull/1,open
https://github.com/AikoXrayR-Project/AikoXrayR-Dockerinstall/pull/1,open
https://github.com/oar-team/oar-docker-compose/pull/8,open
https://github.com/datsukan/outlinewiki-docker-compose/pull/4,merged
https://github.com/ansibleguy76/ansibleforms-docker/pull/2,closed
https://github.com/IvanRezv/sonarqube8.9-docker-compose/pull/1,merged
https://github.com/eingress/docker-compose-traefik-letsencrypt-cloudflare/pull/2,open
https://github.com/HoloborodkoBohdan/odoo-docker-compose/pull/1,open
https://github.com/eeditiones/teipublisher-docker-compose/pull/3,open
https://github.com/terrestris/shogun-docker/pull/50,closed
https://github.com/dominicpacquing/glue-docker-compose/pull/3,open
https://github.com/lilishop/docker/pull/1,merged
https://github.com/akkivarma/Docker-local/pull/1,open
https://github.com/cglusky/docker-django-react/pull/26,open
https://github.com/datsukan/outlinewiki-docker-compose/pull/4,open
https://github.com/ansibleguy76/ansibleforms-docker/pull/3,open
https://github.com/davidefiocco/streamlit-fastapi-model-serving/pull/28,open
https://github.com/Voronenko/devops-gitlab-runner-compose/pull/1,open
https://github.com/OS-Guild/docker-compose-jest-runner/pull/4,open
